serial_no,division,district,unlabeled_count,source_date,scheme,source_url,note
11,Gwalior,GUNA,372,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
12,Gwalior,GWALIOR,669,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
13,Gwalior,SHIVPURI,298,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
14,Hoshangabad,BETUL,1334,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
15,Hoshangabad,HARDA,714,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
16,Hoshangabad,NARMADAPURAM,889,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
17,Indore,ALIRAJPUR,157,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
18,Indore,BARWANI,1800,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
19,Indore,BURHANPUR,3909,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
20,Indore,DHAR,779,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
21,Indore,INDORE,1174,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
22,Indore,JHABUA,185,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
23,Indore,KHANDWA,344,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
24,Indore,KHARGONE,2105,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
25,Jabalpur,BALAGHAT,4515,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
26,Jabalpur,CHHINDWARA,19,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
27,Jabalpur,DINDORI,808,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
28,Jabalpur,JABALPUR,1006,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
29,Jabalpur,KATNI,489,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
30,Jabalpur,MANDLA,137,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
31,Jabalpur,NARSINGHPUR,321,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
32,Jabalpur,SEONI,481,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
33,Rewa,REWA,712,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
34,Rewa,SATNA,271,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
35,Rewa,SIDHI,71,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
36,Rewa,SINGROULI,131,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
37,Sagar,CHHATARPUR,658,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
38,Sagar,DAMOH,276,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
39,Sagar,NIWARI,161,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
40,Sagar,PANNA,37,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
41,Sagar,SAGAR,625,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
42,Sagar,TIKAMGARH,677,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
43,Shahdol,ANUPPUR,119,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
44,Shahdol,SHAHDOL,314,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
45,Shahdol,UMARIA,116,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
46,Ujjain,AGAR MALWA,451,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
47,Ujjain,DEWAS,778,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
48,Ujjain,MANDSAUR,3037,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
49,Ujjain,NEEMUCH,221,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
50,Ujjain,RATLAM,1691,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
51,Ujjain,SHAJAPUR,324,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
52,Ujjain,UJJAIN,2494,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
